,Column_Name,Category
48,Radiology_human_fabrication_rate,Domain
49,Lesion_Location_human_f1,Element
50,Workup_Recommendation_fabrication_rate_diff,Element
51,Invasive Component Size (Pathology)_human_error_type,Observation
52,Workup_Recommendation_human_specificity,Element
53,Lesion_Laterality_human_accuracy,Element
54,Calcifications / Asymmetry_ai_error_type,Observation
55,Lesion_Laterality_ai_TP,Element
56,Chronology_Preserved_ai_specificity,Element
57,Extent_human_fabrication_rate,Element
58,Biopsy_Method_ai_specificity,Element
59,Invasive Component Size (Pathology)_agreement,Observation
60,Chronology_Preserved_accuracy_diff,Element
61,Biopsy_Method_ai_f1,Element
62,Histologic_Diagnosis_human_FN,Element
63,Lesion_Location_human_accuracy,Element
64,Receptor_Status_human_specificity,Element
65,Lesion_Location_accuracy_diff,Element
66,Chronology_Preserved_human_fabrication_rate,Element
67,Lesion_Location_ppv_diff,Element
68,Calcifications___Asymmetry_ppv_diff,Element
69,Histologic Diagnosis_ai_status,Observation
70,Accurate_Clip_Placement_ai_fabrication_rate,Element
71,Lesion_Size_human_npv,Element
72,Invasive_Component_Size_Pathology_ai_ppv,Domain
73,Calcifications___Asymmetry_ai_fabrication_rate,Element
74,Lesion_Laterality_human_fabrication_rate,Element
75,Invasive_Component_Size_Pathology_ai_TP,Domain
76,Calcifications___Asymmetry_sensitivity_diff,Element
77,Receptor_Status_ai_specificity,Element
78,Lesion_Location_human_ppv,Element
79,Lesion_Laterality_ai_accuracy,Element
80,Pathology_ai_FN,Domain
81,Lymph_Node_human_TP,Element
82,Biopsy_Method_ai_TP,Element
83,Lesion_Size_sensitivity_diff,Element
84,Chronology_Preserved_ai_npv,Element
85,Lesion_Location_human_fabrication_rate,Element
86,Histologic Diagnosis_human_correct,Observation
87,Histologic_Diagnosis_ppv_diff,Element
88,Biopsy_Method_human_ppv,Element
89,Receptor_Status_human_FP,Element
90,Receptor_Status_fabrication_rate_diff,Element
91,Accurate_Clip_Placement_human_f1,Element
92,Invasive_Component_Size_Pathology_human_FP,Domain
93,Additional_Enhancement_MRI_ai_TN,Element
94,Biopsy_Method_ppv_diff,Element
95,Chronology Preserved_agreement,Observation
96,Lymph_Node_specificity_diff,Element
97,Calcifications / Asymmetry_perf_diff,Observation
98,Lesion_Laterality_human_npv,Element
99,Lesion Location_human_status,Observation
100,Calcifications___Asymmetry_human_ppv,Element
101,Lesion_Laterality_human_f1,Element
102,Workup Recommendation_ai_status,Observation
103,Workup_Recommendation_sensitivity_diff,Element
104,Invasive_Component_Size_Pathology_specificity_diff,Domain
105,Additional Enhancement (MRI)_ai_status,Observation
106,Invasive Component Size (Pathology)_perf_diff,Observation
107,Pathology_specificity_diff,Domain
108,Chronology Preserved_ai_error_type,Observation
109,Lesion Laterality_agreement,Observation
110,Lesion_Location_human_FP,Element
111,Lesion_Location_ai_FP,Element
112,Calcifications___Asymmetry_human_sensitivity,Element
113,Calcifications___Asymmetry_human_FN,Element
114,Lymph Node_perf_diff,Observation
115,Histologic_Diagnosis_human_fabrication_rate,Element
116,Biopsy_Method_human_accuracy,Element
117,Receptor_Status_ai_FN,Element
118,Calcifications___Asymmetry_fabrication_rate_diff,Element
119,Lymph_Node_human_FP,Element
120,Chronology_Preserved_human_ppv,Element
121,Calcifications___Asymmetry_ai_ppv,Element
122,Additional_Enhancement_MRI_ai_npv,Element
123,Lesion_Laterality_accuracy_diff,Element
124,Lymph_Node_sensitivity_diff,Element
125,Lesion Size_human_error_type,Observation
126,Receptor_Status_ai_npv,Element
127,Additional_Enhancement_MRI_human_FP,Element
128,Biopsy Method_ai_correct,Observation
129,Chronology_Preserved_human_TP,Element
130,Accurate_Clip_Placement_ai_sensitivity,Element
131,Biopsy_Method_human_FN,Element
132,Histologic Diagnosis_human_status,Observation
133,Workup Recommendation_ai_correct,Observation
134,Lesion_Size_ai_sensitivity,Element
135,Invasive Component Size (Pathology)_ai_correct,Observation
136,Chronology_Preserved_ai_FP,Element
137,Receptor Status_human_status,Observation
138,Lesion_Size_human_fabrication_rate,Element
139,Extent_human_TN,Element
140,Chronology_Preserved_human_specificity,Element
141,Workup_Recommendation_ai_npv,Element
142,Biopsy_Method_ai_accuracy,Element
143,Calcifications / Asymmetry_human_status,Observation
144,Lesion_Location_ai_specificity,Element
145,Extent_agreement,Observation
146,Workup_Recommendation_ai_FN,Element
147,Biopsy_Method_human_f1,Element
148,Accurate Clip Placement_human_correct,Observation
149,Histologic_Diagnosis_ai_f1,Element
150,Lesion_Location_human_TP,Element
151,Chronology_Preserved_ai_fabrication_rate,Element
152,Lymph_Node_ai_accuracy,Element
153,Lesion_Size_ai_TN,Element
154,Lymph_Node_human_sensitivity,Element
155,Pathology_human_TP,Domain
156,Lesion_Size_human_TN,Element
157,Chronology_Preserved_ai_FN,Element
158,Invasive_Component_Size_Pathology_ai_FN,Domain
159,Biopsy_Method_sensitivity_diff,Element
160,Invasive_Component_Size_Pathology_ai_TN,Domain
161,Accurate_Clip_Placement_ai_ppv,Element
162,Receptor Status_perf_diff,Observation
163,Histologic Diagnosis_human_error_type,Observation
164,Accurate Clip Placement_ai_correct,Observation
165,Extent_ai_FN,Element
166,Workup_Recommendation_human_FN,Element
167,Calcifications___Asymmetry_specificity_diff,Element
168,Invasive Component Size (Pathology)_ai_error_type,Observation
169,Invasive_Component_Size_Pathology_human_specificity,Domain
170,Lesion Laterality_ai_error_type,Observation
171,Accurate_Clip_Placement_human_ppv,Element
172,Lesion_Location_sensitivity_diff,Element
173,Radiology_ai_ppv,Domain
174,Extent_ai_sensitivity,Element
175,Invasive_Component_Size_Pathology_ai_f1,Domain
176,Invasive_Component_Size_Pathology_fabrication_rate_diff,Domain
177,Lesion_Location_specificity_diff,Element
178,Extent_ai_status,Observation
179,Lesion Size_agreement,Observation
180,Extent_ai_TN,Element
181,Biopsy_Method_ai_npv,Element
182,Lesion_Size_fabrication_rate_diff,Element
183,Receptor Status_human_error_type,Observation
184,Extent_human_accuracy,Element
185,Workup_Recommendation_accuracy_diff,Element
186,Invasive Component Size (Pathology)_human_correct,Observation
187,Accurate_Clip_Placement_human_FN,Element
188,Accurate_Clip_Placement_ai_TP,Element
189,Extent_ai_correct,Observation
190,Lesion_Size_ai_TP,Element
191,Radiology_human_npv,Domain
192,Lesion_Location_ai_TN,Element
193,Extent_ppv_diff,Element
194,Chronology_Preserved_ai_ppv,Element
195,Pathology_human_npv,Domain
196,Invasive_Component_Size_Pathology_human_npv,Domain
197,Extent_human_sensitivity,Element
198,Lesion Size_ai_correct,Observation
199,Accurate_Clip_Placement_ai_npv,Element
200,Additional_Enhancement_MRI_human_TP,Element
201,Lesion_Location_human_TN,Element
202,Radiology_ai_npv,Domain
203,Accurate Clip Placement_ai_status,Observation
204,Biopsy_Method_human_specificity,Element
205,Lesion_Laterality_human_ppv,Element
206,Receptor_Status_ai_fabrication_rate,Element
207,Invasive_Component_Size_Pathology_ai_npv,Domain
208,Workup_Recommendation_ai_TN,Element
209,ai_accuracy_per_obs,Observation
210,Receptor_Status_human_ppv,Element
211,Lymph Node_ai_error_type,Observation
212,Lesion_Laterality_human_FP,Element
213,Pathology_human_ppv,Domain
214,Biopsy_Method_ai_TN,Element
215,Lesion_Location_ai_accuracy,Element
216,Radiology_sensitivity_diff,Domain
217,Accurate_Clip_Placement_accuracy_diff,Element
218,Radiology_human_specificity,Domain
219,Lesion_Laterality_sensitivity_diff,Element
220,Additional_Enhancement_MRI_ppv_diff,Element
221,Calcifications___Asymmetry_accuracy_diff,Element
222,Workup_Recommendation_ai_ppv,Element
223,Additional_Enhancement_MRI_sensitivity_diff,Element
224,Radiology_ai_TP,Domain
225,Accurate_Clip_Placement_human_FP,Element
226,Lesion Laterality_perf_diff,Observation
227,Lesion_Laterality_human_sensitivity,Element
228,Workup_Recommendation_human_fabrication_rate,Element
229,Lesion Laterality_ai_correct,Observation
230,Extent_fabrication_rate_diff,Element
231,Radiology_ai_TN,Domain
232,Lymph_Node_ai_fabrication_rate,Element
233,Calcifications___Asymmetry_ai_TN,Element
234,Receptor_Status_ai_accuracy,Element
235,Chronology_Preserved_human_TN,Element
236,Additional Enhancement (MRI)_ai_correct,Observation
237,Lesion_Size_ai_ppv,Element
238,Lymph_Node_ai_npv,Element
239,Lesion_Location_fabrication_rate_diff,Element
240,Biopsy Method_ai_status,Observation
241,Invasive_Component_Size_Pathology_sensitivity_diff,Domain
242,Lesion_Size_ai_f1,Element
243,Pathology_human_TN,Domain
244,Additional_Enhancement_MRI_human_fabrication_rate,Element
245,Pathology_ai_ppv,Domain
246,Receptor Status_ai_status,Observation
247,agreement_rate_per_obs,Other
248,Workup_Recommendation_ppv_diff,Element
249,total_agreements,Observation
250,Lesion Size_ai_error_type,Observation
251,Calcifications___Asymmetry_human_TP,Element
252,Additional_Enhancement_MRI_ai_FN,Element
253,Invasive Component Size (Pathology)_ai_status,Observation
254,Receptor_Status_ai_TN,Element
255,Histologic_Diagnosis_ai_FP,Element
256,Lymph Node_ai_correct,Observation
257,Extent_ai_TP,Element
258,Workup Recommendation_perf_diff,Observation
259,Calcifications___Asymmetry_ai_FP,Element
260,Additional_Enhancement_MRI_human_accuracy,Element
261,Calcifications___Asymmetry_ai_TP,Element
262,Lymph_Node_fabrication_rate_diff,Element
263,Extent_ai_npv,Element
264,Accurate_Clip_Placement_ai_FP,Element
265,Accurate Clip Placement_agreement,Observation
266,Receptor_Status_specificity_diff,Element
267,Biopsy_Method_ai_FP,Element
268,Workup_Recommendation_ai_sensitivity,Element
269,Receptor_Status_ppv_diff,Element
270,Lesion Laterality_human_correct,Observation
271,human_advantage_per_obs,Observation
272,Invasive_Component_Size_Pathology_ai_sensitivity,Domain
273,Pathology_ai_f1,Domain
274,Additional Enhancement (MRI)_perf_diff,Observation
275,Lesion Laterality_human_status,Observation
276,Biopsy Method_ai_error_type,Observation
277,Additional_Enhancement_MRI_fabrication_rate_diff,Element
278,Histologic_Diagnosis_specificity_diff,Element
279,Lymph_Node_human_accuracy,Element
280,Chronology_Preserved_human_sensitivity,Element
281,Histologic_Diagnosis_ai_ppv,Element
282,Additional_Enhancement_MRI_specificity_diff,Element
283,Lesion_Laterality_ai_FP,Element
284,Lymph_Node_ai_TN,Element
285,Pathology_fabrication_rate_diff,Domain
286,Additional_Enhancement_MRI_human_TN,Element
287,Workup Recommendation_human_status,Observation
288,Histologic Diagnosis_ai_error_type,Observation
289,Histologic_Diagnosis_human_f1,Element
290,Additional_Enhancement_MRI_ai_FP,Element
291,Biopsy_Method_accuracy_diff,Element
292,Additional Enhancement (MRI)_agreement,Observation
293,Lesion_Laterality_ai_npv,Element
294,Lesion_Location_ai_FN,Element
295,Lesion_Location_human_npv,Element
296,Accurate_Clip_Placement_fabrication_rate_diff,Element
297,Lesion_Laterality_ai_specificity,Element
298,Calcifications___Asymmetry_ai_specificity,Element
299,Chronology Preserved_human_error_type,Observation
300,Invasive_Component_Size_Pathology_human_fabrication_rate,Domain
301,Workup_Recommendation_ai_TP,Element
302,Histologic_Diagnosis_human_TN,Element
303,Lymph_Node_ai_TP,Element
304,Biopsy_Method_specificity_diff,Element
305,Invasive_Component_Size_Pathology_human_sensitivity,Domain
306,Receptor_Status_ai_f1,Element
307,Histologic_Diagnosis_human_TP,Element
308,Pathology_ai_npv,Domain
309,Lesion_Size_human_f1,Element
310,Pathology_ai_fabrication_rate,Domain
311,Workup_Recommendation_ai_FP,Element
312,Workup_Recommendation_ai_specificity,Element
313,Chronology_Preserved_human_f1,Element
314,Additional_Enhancement_MRI_human_FN,Element
315,Workup_Recommendation_human_f1,Element
316,Biopsy_Method_ai_fabrication_rate,Element
317,Accurate_Clip_Placement_human_TN,Element
318,human_total_correct,Observation
319,Workup_Recommendation_human_TN,Element
320,Biopsy Method_perf_diff,Observation
321,Calcifications___Asymmetry_ai_accuracy,Element
322,Extent_accuracy_diff,Element
323,Calcifications___Asymmetry_ai_f1,Element
324,Lesion Location_agreement,Observation
325,Additional_Enhancement_MRI_ai_sensitivity,Element
326,Accurate_Clip_Placement_human_accuracy,Element
327,Additional_Enhancement_MRI_ai_TP,Element
328,Biopsy Method_human_error_type,Observation
329,Biopsy_Method_fabrication_rate_diff,Element
330,Workup Recommendation_agreement,Observation
331,Lymph_Node_human_f1,Element
332,Histologic_Diagnosis_fabrication_rate_diff,Element
333,Lesion_Laterality_ppv_diff,Element
334,Accurate_Clip_Placement_ai_f1,Element
335,Lesion_Location_ai_TP,Element
336,Chronology_Preserved_ppv_diff,Element
337,Lesion_Laterality_human_TP,Element
338,Receptor_Status_human_FN,Element
339,Pathology_human_accuracy,Domain
340,Receptor_Status_human_TN,Element
341,Lesion_Location_ai_fabrication_rate,Element
342,Extent_ai_f1,Element
343,Radiology_human_FN,Domain
344,Receptor Status_ai_correct,Observation
345,Accurate_Clip_Placement_ai_specificity,Element
346,Lymph_Node_human_npv,Element
347,Accurate_Clip_Placement_human_sensitivity,Element
348,Extent_human_correct,Observation
349,Lesion_Laterality_ai_FN,Element
350,Chronology_Preserved_ai_f1,Element
351,Biopsy_Method_ai_ppv,Element
352,Receptor Status_ai_error_type,Observation
353,Chronology_Preserved_human_FN,Element
354,Additional_Enhancement_MRI_human_ppv,Element
355,Extent_ai_specificity,Element
356,Pathology_ai_FP,Domain
357,Calcifications / Asymmetry_agreement,Observation
358,Biopsy_Method_human_TN,Element
359,Lesion_Size_human_FN,Element
360,Workup_Recommendation_human_npv,Element
361,Biopsy_Method_human_FP,Element
362,Additional_Enhancement_MRI_human_specificity,Element
363,Extent_human_error_type,Observation
364,Lesion_Size_specificity_diff,Element
365,Biopsy_Method_human_TP,Element
366,Chronology_Preserved_ai_TN,Element
367,Receptor Status_agreement,Observation
368,Histologic_Diagnosis_ai_fabrication_rate,Element
369,Lesion_Size_ppv_diff,Element
370,Biopsy Method_human_status,Observation
371,Radiology_human_FP,Domain
372,Lymph_Node_human_ppv,Element
373,ai_total_correct,Observation
374,Pathology_human_FP,Domain
375,Pathology_accuracy_diff,Domain
376,Invasive_Component_Size_Pathology_human_ppv,Domain
377,Pathology_ai_TN,Domain
378,Biopsy Method_human_correct,Observation
379,Lesion_Laterality_ai_TN,Element
380,Additional_Enhancement_MRI_human_npv,Element
381,Receptor_Status_human_accuracy,Element
382,Lesion_Location_ai_npv,Element
383,Extent_ai_error_type,Observation
384,Lesion_Laterality_human_FN,Element
385,Histologic Diagnosis_perf_diff,Observation
386,Lesion_Location_human_FN,Element
387,Histologic_Diagnosis_human_ppv,Element
388,Lymph_Node_ai_specificity,Element
389,Lesion Size_human_status,Observation
390,Lesion_Laterality_human_specificity,Element
391,Invasive_Component_Size_Pathology_human_TP,Domain
392,Accurate_Clip_Placement_ai_FN,Element
393,Histologic_Diagnosis_human_specificity,Element
394,Receptor_Status_ai_ppv,Element
395,Lesion_Laterality_human_TN,Element
396,Extent_sensitivity_diff,Element
397,Invasive_Component_Size_Pathology_human_FN,Domain
398,Lymph Node_ai_status,Observation
399,Calcifications / Asymmetry_human_error_type,Observation
400,Additional_Enhancement_MRI_ai_specificity,Element
401,Invasive_Component_Size_Pathology_ai_FP,Domain
402,Workup Recommendation_human_error_type,Observation
403,Receptor_Status_ai_TP,Element
404,Pathology_ai_specificity,Domain
405,Lesion Location_human_error_type,Observation
406,Invasive_Component_Size_Pathology_ai_specificity,Domain
407,Lymph_Node_human_fabrication_rate,Element
408,Lymph_Node_ai_f1,Element
409,Chronology_Preserved_human_npv,Element
410,Lesion_Size_ai_fabrication_rate,Element
411,Lesion Laterality_human_error_type,Observation
412,Lymph_Node_ppv_diff,Element
413,Radiology_specificity_diff,Domain
414,Receptor_Status_sensitivity_diff,Element
415,Calcifications___Asymmetry_human_specificity,Element
416,Lymph Node_human_error_type,Observation
417,Radiology_ai_accuracy,Domain
418,Invasive_Component_Size_Pathology_ai_fabrication_rate,Domain
419,Lesion_Size_ai_FP,Element
420,Pathology_human_f1,Domain
421,Chronology_Preserved_ai_TP,Element
422,Radiology_ai_fabrication_rate,Domain
423,Pathology_sensitivity_diff,Domain
424,Accurate_Clip_Placement_sensitivity_diff,Element
425,Workup_Recommendation_ai_f1,Element
426,Lesion Location_ai_status,Observation
427,Radiology_human_TN,Domain
428,Histologic_Diagnosis_ai_accuracy,Element
429,Chronology Preserved_perf_diff,Observation
430,Chronology_Preserved_specificity_diff,Element
431,Chronology Preserved_ai_status,Observation
432,Lesion_Size_human_accuracy,Element
433,Histologic_Diagnosis_ai_sensitivity,Element
434,Accurate_Clip_Placement_ai_accuracy,Element
435,Extent_human_npv,Element
436,Extent_specificity_diff,Element
437,Lymph_Node_ai_sensitivity,Element
438,Workup_Recommendation_human_FP,Element
439,Workup_Recommendation_ai_fabrication_rate,Element
440,Lymph_Node_human_TN,Element
441,Workup_Recommendation_human_ppv,Element
442,Histologic_Diagnosis_ai_npv,Element
443,Lymph Node_human_status,Observation
444,Accurate_Clip_Placement_human_specificity,Element
445,Lesion_Location_ai_ppv,Element
446,Lymph Node_human_correct,Observation
447,Invasive_Component_Size_Pathology_accuracy_diff,Domain
448,Lesion_Laterality_ai_fabrication_rate,Element
449,Histologic_Diagnosis_ai_TP,Element
450,Biopsy_Method_ai_FN,Element
451,Pathology_human_sensitivity,Domain
452,Lesion_Laterality_ai_f1,Element
453,Chronology_Preserved_fabrication_rate_diff,Element
454,Lesion_Laterality_ai_ppv,Element
455,Histologic Diagnosis_agreement,Observation
456,Accurate Clip Placement_ai_error_type,Observation
457,Calcifications___Asymmetry_human_accuracy,Element
458,Radiology_fabrication_rate_diff,Domain
459,Lesion_Size_human_TP,Element
460,Calcifications___Asymmetry_human_FP,Element
461,Extent_human_ppv,Element
462,Radiology_human_ppv,Domain
463,Radiology_accuracy_diff,Domain
464,Additional_Enhancement_MRI_ai_accuracy,Element
465,Workup_Recommendation_human_TP,Element
466,Extent_ai_FP,Element
467,Lymph_Node_human_FN,Element
468,Calcifications___Asymmetry_human_f1,Element
469,Lesion_Size_ai_FN,Element
470,Lymph_Node_ai_FN,Element
471,Additional_Enhancement_MRI_ai_ppv,Element
472,Additional_Enhancement_MRI_accuracy_diff,Element
473,Extent_ai_fabrication_rate,Element
474,Radiology_human_accuracy,Domain
475,Invasive_Component_Size_Pathology_ai_accuracy,Domain
476,Radiology_ai_sensitivity,Domain
477,Lesion Location_human_correct,Observation
478,Lymph_Node_ai_ppv,Element
479,Biopsy_Method_ai_sensitivity,Element
480,Additional_Enhancement_MRI_human_sensitivity,Element
481,Extent_human_TP,Element
482,Workup_Recommendation_human_sensitivity,Element
483,Additional Enhancement (MRI)_human_status,Observation
484,Receptor_Status_human_fabrication_rate,Element
485,Chronology Preserved_human_correct,Observation
486,Receptor_Status_human_f1,Element
487,Receptor_Status_human_npv,Element
488,Additional Enhancement (MRI)_ai_error_type,Observation
489,Biopsy_Method_human_sensitivity,Element
490,Pathology_human_fabrication_rate,Domain
491,Pathology_ai_sensitivity,Domain
492,Calcifications___Asymmetry_human_TN,Element
493,Chronology_Preserved_ai_sensitivity,Element
494,Pathology_ai_TP,Domain
495,Accurate Clip Placement_human_error_type,Observation
496,Lesion Size_perf_diff,Observation
497,elements_evaluated,Other
498,Accurate_Clip_Placement_ppv_diff,Element
499,Biopsy_Method_human_fabrication_rate,Element
500,Additional Enhancement (MRI)_human_error_type,Observation
501,Calcifications___Asymmetry_ai_npv,Element
502,Accurate_Clip_Placement_human_npv,Element
503,Histologic_Diagnosis_accuracy_diff,Element
504,Biopsy_Method_human_npv,Element
505,Invasive Component Size (Pathology)_human_status,Observation
506,Accurate_Clip_Placement_human_TP,Element
507,Extent_human_status,Observation
508,Extent_human_specificity,Element
509,Additional_Enhancement_MRI_ai_fabrication_rate,Element
510,Histologic_Diagnosis_human_FP,Element
511,Radiology_ppv_diff,Domain
512,Calcifications___Asymmetry_human_npv,Element
513,Lesion_Location_ai_f1,Element
514,Lesion_Size_ai_npv,Element
515,Workup Recommendation_ai_error_type,Observation
516,Calcifications___Asymmetry_ai_sensitivity,Element
517,Invasive_Component_Size_Pathology_human_TN,Domain
518,Histologic_Diagnosis_human_accuracy,Element
519,Pathology_ppv_diff,Domain
520,Workup Recommendation_human_correct,Observation
521,Workup_Recommendation_specificity_diff,Element
522,Radiology_ai_FN,Domain
523,Lesion Location_ai_correct,Observation
524,Calcifications___Asymmetry_human_fabrication_rate,Element
525,Radiology_ai_FP,Domain
526,Invasive_Component_Size_Pathology_human_f1,Domain
527,Radiology_ai_specificity,Domain
528,Invasive_Component_Size_Pathology_ppv_diff,Domain
529,Calcifications / Asymmetry_ai_correct,Observation
530,Invasive_Component_Size_Pathology_human_accuracy,Domain
531,Biopsy Method_agreement,Observation
532,Lesion_Laterality_specificity_diff,Element
533,Lesion_Size_human_sensitivity,Element
534,Radiology_human_sensitivity,Domain
535,Radiology_human_f1,Domain
536,Accurate_Clip_Placement_ai_TN,Element
537,Lesion Laterality_ai_status,Observation
538,Histologic_Diagnosis_ai_specificity,Element
539,Lesion_Size_human_specificity,Element
540,Pathology_human_FN,Domain
541,Lesion Location_ai_error_type,Observation
542,Extent_perf_diff,Observation
543,Lesion_Size_human_ppv,Element
544,Chronology_Preserved_human_FP,Element
545,Additional Enhancement (MRI)_human_correct,Observation
546,Pathology_ai_accuracy,Domain
547,Lesion Location_perf_diff,Observation
548,Radiology_ai_f1,Domain
549,Lesion Size_human_correct,Observation
550,Accurate Clip Placement_perf_diff,Observation
551,Lesion_Location_ai_sensitivity,Element
