target,model,feature,importance,rank
human_advantage,Random Forest,Lesion Location_ai_correct,4.0899553298950195,6
human_advantage,Random Forest,Accurate Clip Placement_perf_diff,3.9152534008026123,7
human_advantage,Random Forest,Lesion Size_ai_correct,3.8109538555145264,8
human_advantage,Random Forest,Invasive Component Size (Pathology)_perf_diff,3.801339864730835,9
human_advantage,Random Forest,Accurate Clip Placement_human_correct,3.6213865280151367,10
human_advantage,XGBoost,human_total_correct,2.182548999786377,1
human_advantage,XGBoost,Lesion Location_ai_correct,0.5600787401199341,2
human_advantage,XGBoost,Workup Recommendation_human_correct,0.23442266881465912,3
human_advantage,XGBoost,ai_total_correct,0.15916851162910461,4
human_advantage,XGBoost,Lesion Size_ai_correct,0.15189708769321442,5
human_advantage,XGBoost,total_agreements,0.1215975433588028,6
human_advantage,XGBoost,Invasive Component Size (Pathology)_perf_diff,0.10798023641109467,7
human_advantage,XGBoost,Receptor Status_ai_correct,0.07917243987321854,8
human_advantage,XGBoost,Additional Enhancement (MRI)_agreement,0.06360360234975815,9
human_advantage,XGBoost,Lymph Node_perf_diff,0.062318913638591766,10
human_advantage,Gradient Boosting,human_total_correct,4.404916763305664,1
human_advantage,Gradient Boosting,ai_total_correct,1.7262459993362427,2
human_advantage,Gradient Boosting,total_agreements,0.4602050483226776,3
human_advantage,Gradient Boosting,Workup Recommendation_agreement,0.44516509771347046,4
human_advantage,Gradient Boosting,Unnamed: 0,0.33685094118118286,5
human_advantage,Gradient Boosting,Workup Recommendation_human_correct,0.28815674781799316,6
human_advantage,Gradient Boosting,Accurate Clip Placement_agreement,0.17066234350204468,7
human_advantage,Gradient Boosting,Receptor Status_perf_diff,0.09085765480995178,8
human_advantage,Gradient Boosting,Lymph Node_human_correct,0.07975833117961884,9
human_advantage,Gradient Boosting,Lymph Node_perf_diff,0.0713157206773758,10
agreement_rate,Random Forest,total_agreements,44.04963684082031,1
agreement_rate,Random Forest,human_total_correct,13.927787780761719,2
agreement_rate,Random Forest,Accurate Clip Placement_perf_diff,7.295194625854492,3
agreement_rate,Random Forest,Accurate Clip Placement_agreement,6.3689093589782715,4
agreement_rate,Random Forest,Accurate Clip Placement_human_correct,4.1936564445495605,5
agreement_rate,Random Forest,Chronology Preserved_perf_diff,3.7691195011138916,6
agreement_rate,Random Forest,Workup Recommendation_agreement,2.0082154273986816,7
agreement_rate,Random Forest,Chronology Preserved_agreement,1.748545527458191,8
agreement_rate,Random Forest,Lesion Size_perf_diff,1.6813323497772217,9
agreement_rate,Random Forest,Invasive Component Size (Pathology)_agreement,1.6080024242401123,10
agreement_rate,XGBoost,total_agreements,4.556178569793701,1
agreement_rate,XGBoost,Lesion Size_human_correct,1.0256595611572266,2
agreement_rate,XGBoost,human_total_correct,0.026834027841687202,3
agreement_rate,Gradient Boosting,total_agreements,3.932396173477173,1
agreement_rate,Gradient Boosting,Accurate Clip Placement_agreement,0.8912143707275391,2
agreement_rate,Gradient Boosting,human_total_correct,0.793236494064331,3
agreement_rate,Gradient Boosting,Lesion Size_agreement,0.41314980387687683,4
agreement_rate,Gradient Boosting,Unnamed: 0,0.10942457616329193,5
agreement_rate,Gradient Boosting,ai_total_correct,0.09309366345405579,6
agreement_rate,Gradient Boosting,Workup Recommendation_human_correct,0.03187550604343414,7
agreement_rate,Gradient Boosting,Receptor Status_agreement,0.02965700812637806,8
agreement_rate,Gradient Boosting,Workup Recommendation_agreement,0.023836003616452217,9
agreement_rate,Gradient Boosting,Lymph Node_human_correct,0.02006124146282673,10
